Canal;SI;CA_Service
GLOBO TV ANHANGUERA GOIANIA ;2602;59,61,558
GLOBO TV ANHANGUERA GOIANIA HD ;5182;59,61,558
GLOBO TV ANHANGUERA PALMAS HD ;5362;59,61,435
GLOBO TV ASA BRANCA ;1316;59,61,594
GLOBO TV ASA BRANCA AL ;5131;59,61,602
GLOBO TV ASA BRANCA AL HD ;5581;59,61,602
GLOBO TV ASA BRANCA HD ;1103;59,61,594
GLOBO TV BAHIA  ;5483;59,61,535
GLOBO TV BAHIA HD ;5063;59,61,535
GLOBO TV CABO BRANCO ;2218;59,61,622
GLOBO TV CABO BRANCO HD ;5584;59,61,622
GLOBO TV CLUBE ;5250;59,61,601
GLOBO TV CLUBE HD ;5401;59,61,601
GLOBO TV DIARIO ;5482;59,61,568
GLOBO TV DIARIO HD ;5144;59,61,568
GLOBO TV GAZETA VITORIA ;2817;59,61,608
GLOBO TV GAZETA VITORIA HD ;5267;59,61,608
GLOBO TV INT JUIZ DE FORA ;5485;59,61,571
GLOBO TV INT JUIZ DE FORA HD ;5103;59,61,571
GLOBO TV INT UBERABA ;1509;59,61,631
GLOBO TV INT UBERABA HD  ;1110;59,61,631
GLOBO TV INT UBERLANDIA ;5130;59,61,610
GLOBO TV INT UBERLANDIA HD ;5263;59,61,610
GLOBO TV LIBERAL BELEM ;2604;59,61,557
GLOBO TV LIBERAL BELEM HD ;5327;59,61,557
GLOBO TV MIR COCAIS ;5241;59,61,591
GLOBO TV MIR COCAIS HD ;5105;59,61,591
GLOBO TV MIR SAO LUIS ;5132;59,61,603
GLOBO TV MIR SAO LUIS HD ;5202;59,61,603
GLOBO TV MORENA ;2803;59,61,604
GLOBO TV MORENA HD ;5187;59,61,604
GLOBO TV RIO SUL ;5486;59,61,572
GLOBO TV RIO SUL HD ;5165;59,61,572
GLOBO TV SANTA CRUZ ;2916;59,61,573
GLOBO TV SERGIPE ;1310;59,61,593
GLOBO TV SERGIPE HD ;1810;59,61,593
GLOBO TV SUBAE ;2419;59,61,624
GLOBO TV SUBAE HD ;1104;59,61,624
GLOBO TV SUDOESTE ;5245;59,61,592
GLOBO TV SUDOESTE HD ;5041;59,61,592
GLOBO TV TEM BAURU  ;5248;59,61,532,569
GLOBO TV TEM BAURU HD  ;5304;59,61,532,569
GLOBO TV TEM ITAPETININGA ;2110;59,61,214
GLOBO TV TEM SJRP  ;5487;59,61,536
GLOBO TV TEM SJRP HD  ;5007;59,61,536
GLOBO TV TEM SOROCABA ;1513;59,61,538
GLOBO TV TEM SOROCABA HD ;6104;59,61,538
GLOBO TV TRIBUNA ;1301;59,61,542
GLOBO TV TRIBUNA HD ;6403;59,61,542
GLOBO VANGUARDA SJC ;1626;59,61,539
GLOBO VANGUARDA SJC HD ;1801;59,61,539
GLOBO VANGUARDA TAUBATE ;1624;59,61,562
GLOBO VANGUARDA TAUBATE HD ;1802;59,61,562
GLOBO VERDES MARES ;2202;59,61,540
GLOBO VERDES MARES CARIRI ;2606;59,61,623
GLOBO VERDES MARES CARIRI HD ;5303;59,61,623
GLOBO VERDES MARES HD ;5001;59,61,540
GLOBONEWS ;1075;59,118,206
GLOBONEWS HD ;5084;47,59,161,482
GLOBOPLAY NOVELAS ;2609;59,63,111,442,551
GLOBOPLAY NOVELAS HD ;5083;48,59,161,236,436,442
GLOOB ;2810;59,98,111,168,170
GLOOB HD ;5106;48,59,161,474
GLOOBINHO ;2605;59,130,142,596
GLOOBINHO HD  ;5546;48,59,161,242,451,467,583
GNT ;227;59,111,367
GNT HD ;5329;48,59,161,456
GOLF HD ;5301;59,92,105,161,546
GOSPEL ;1958;59,137,224
HBO ;2902;59,149,150,225,904,908
HBO 2 ;2917;59,149,150,226,904,908
HBO 2 HD ;5104;59,163
HBO FAMILY ;5127;59,150,229,905
HBO FAMILY HD ;5405;59,163
HBO HD ;5209;59,163
HBO MUNDI ;5258;59,150,232,903
HBO MUNDI HD ;5167;59,163
HBO PLUS ;2913;59,149,150,227,904
HBO PLUS HD ;5044;59,163,487
HBO POP ;2520;59,150,231,903,908
HBO POP HD ;5521;59,163
HBO SIGNATURE ;5129;59,150,230,905
HBO SIGNATURE HD ;5406;59,163
HBO XTREME ;2509;59,150,233,903,908
HBO XTREME HD ;5522;59,163,488
HISTORY 2 HD ;5424;47,59,161,473
HISTORY CHANNEL ;2215;59,142,442,901
HISTORY HD ;5183;47,59,161,464
HOME & GARDEN HD ;5344;48,59,161,472
IGREJA CRISTA MARANATA HD ;5027;47,48,59,161,236,489,613,999
INFO PRE PAGO 870 ;2403;59,316
INFO PRE PAGO 872 ;2406;59,316
ISTV ;5426;59,999
JAZZ ;1166;59,137,224
JOVEM PAN NEWS HD ;5029;59,161,467,575,999
KIDS ;1345;59,137,224
LIFETIME ;1308;59,98,107,159,901,902
LIFETIME HD ;1105;47,59,161,459,467,586
LOUNGE ;1365;59,137,224
MADONNA ;1163;59,137,224
MANA TV HD  ;5172;59,999
MANUAL RECEPTOR ;5011;59,102,316
MEGAPIX ;5492;59,111,139,371,529,901
MEGAPIX HD ;5206;48,59,161,479
MEIO NORTE HD ;5086;59,999
METAL ;1361;59,137,224
MODO VIAGEM ;2608;59,111,190,192
MODO VIAGEM HD ;5042;47,59,161,471
MOSAICO ADULTO ;4425;59,60,102,139,154,310,316,901
MOSAICO ESPN HD ;6405;59,257
MOSAICO ESPORTES ;4402;59,60,102,139,154,310,316,901
MOSAICO GAMES ;9059;59,60,102,139,154,310,316,901
MOSAICO MULTIJOGOS HD ;6101;59,248,249,300,301
MOSAICO SPORTV HD ;1807;47,48,59,161,237,477
MOSAICO iTV ;9052;59,60,102,139,154,310,316,901
MPB ;1364;59,137,224
MULTISHOW ;2208;59,118,207
MULTISHOW HD ;5542;48,59,161,481
MUSIC BOX BRASIL HD ;5222;59,161,455
MUSICA CLASSICA ;1342;59,137,224
NHK ;2113;59,136,910
NOVIDADES ;5585;59,999
OFF ;2912;59,190,194
OFF HD ;5189;47,59,161,455
PACOTES PROGRAM ;9055;59,60,102,139,154,310,316,901
PADRE CICERO HD ;5026;59,999
PARAMOUNT+ ;1545;59,60,102,139,154,316,901
PLAY TV  ;5255;59,60,111,139,152,373
PLAYBOY HD ;1803;58,69
PLAYBOY TV ;1415;58,69
PLAYTV+ HD ;5002;59,999
POP HITS ;1955;59,137,224
PREMIERE CLUBES ;2505;59,153,782
PREMIERE CLUBES HD ;5022;59,248,249,300,301
PRIME BOX BRAZIL ;2444;59,108,551
RADIO BAND AM ;1149;59,60,137,138,224,309,310,316,362,999
RADIO BAND FM ;1148;59,60,137,138,224,309,310,316,362,999
RADIO BAND NEWS ;1150;59,60,137,138,224,309,310,316,362,999
RADIO BH FM ;1348;59,60,137,138,224,309,310,316,362
RADIO CBN ;1347;59,60,137,138,224,309,310,316,362
RADIO CBN BH ;2804;59,60,138,224,309,310,316,362
RADIO CBN BSB ;2806;59,60,138,224,309,310,316,362
RADIO CBN RJ ;2802;59,60,138,224,309,310,316,362
RADIO CLUBE FM ;2517;59,60,138,224,309,310,316,362,999
RADIO EVANGELIZAR MAIS ;1629;59,60,137,138,224,309,310,316,362,999
RADIO EVANGELIZAR POP ;1462;59,60,138,224,309,310,316,362,999
RADIO GAUCHA ;1923;59,60,137,138,224,309,310,316,362
RADIO GLOBO RJ ;1349;59,60,137,138,224,309,310,316,362
RADIO ITATIAIA AM/FM ;1917;59,60,137,138,224,309,310,316,362,999
RADIO JOVEM PAN FM ;1634;59,60,137,138,224,309,310,316,362,999
RADIO JOVEM PAN NEWS ;1924;59,60,137,138,224,309,310,316,362,999
RADIO NATIVA FM ;1160;59,60,137,138,224,309,310,316,362,999
RADIO NERY ;1423;59,60,137,138,224,309,310,316,362,999
RADIO RFI ;1615;59,60,137,138,224,309,310,316,362,999
RADIO VERDES MARES ;2518;59,60,138,224,309,310,316,362,999
RAI ;1504;59,84,135,909
RBI ;2402;59,102,176,310,316,362,999
RBTV ;2513;59,102,310,316,362,999
RECORD BAHIA ;5499;59,61,101,102,104,310,316,362,652,785
RECORD BAHIA HD ;5049;48,59,61,161,236,243,489,613,615,652
RECORD HD ;5046;47,48,59,161,236,243,489,613,615,647
RECORD NEWS ;1632;59,102,178,310,316,362
RECORD NEWS HD ;1907;47,48,59,161,236,436,489,613,999
RECORD TV ;2811;59,61,101,102,104,310,316,362,647,785
RECORD TV BELEM HD ;5464;59,61,433
RECORD TV BRASILIA ;5253;59,61,101,102,104,310,316,362,650,785
RECORD TV BRASILIA HD ;5461;47,48,59,161,236,243,489,613,615,650,999
RECORD TV CURITIBA HD ;5462;59,61,431,635
RECORD TV FLORIANOPOLIS HD ;5463;59,61,430,690
RECORD TV FORTALEZA HD ;5466;59,61,429,637
RECORD TV GOIAS HD ;5465;59,61,432,692
RECORD TV MINAS ;5256;59,61,101,102,104,310,316,362,651,785
RECORD TV MINAS HD ;5305;47,48,59,161,236,243,489,613,615,651
RECORD TV RIO ;5139;59,61,101,102,104,310,316,362,648,785
RECORD TV RIO HD ;5383;47,48,59,161,236,243,489,613,615,648
RECORD TV RS ;2819;59,61,101,102,104,310,316,362,649,785
RECORD TV RS HD ;5385;47,48,59,161,236,243,489,613,615,649
REDE BRASIL ;2416;59,102,174,310,316,362,999
REDE GENESIS HD ;5387;59,999
REDE MUNDIAL HD ;5142;47,48,59,161,236,489,613,999
REDE SUPER HD ;5010;59,999
REDE TV ;2102;36,59,102,147,310,316,362,785,901
REDE TV HD ;5030;47,48,59,161,236,243,436,489,613,615,999
REDE VIDA ;2506;59,102,104,204,310,316,362,442,901
REDE VIDA HD ;5092;47,48,59,161,236,436,489,613,999
REGGAE ;1957;59,137,224
RIT ;1537;36,59,76,102,154,310,316,362,901,999
ROCK ;1165;59,137,224
ROCK BRASIL ;1363;59,137,224
ROCK CLASSICO ;1344;59,137,224
ROMANTICAS ;1145;59,137,224
RTP MUNDO ;1407;59,85,135,909
SABOR & ARTE HD ;5364;47,48,59,161,246
SAMBA E PAGODE ;1161;59,137,224
SBN ;1405;59,999
SBT ;5121;59,65,102,154,310,316,362,646,785,901
SBT EM BRASILIA ;1419;59,65,102,154,310,316,362,643,785,901
SBT EM BRASILIA HD ;6409;48,59,61,161,236,243,489,613,615,643
SBT EM SAO PAULO ;1420;59,65,102,154,310,316,362,641,785,901
SBT EM SAO PAULO HD ;1708;48,59,61,161,236,243,489,613,615,641
SBT HD  ;5563;48,59,61,161,236,243,489,613,615,646
SBT NEWS HD ;5225;47,59,161,236,613,615,999
SBT NO PARA ;5498;59,65,102,154,310,316,362,645,785,901
SBT NO PARA HD ;5381;48,59,61,161,236,243,489,613,615,645
SBT NO RIO ;1547;59,65,102,154,310,316,362,642,785,901
SBT NO RIO GRANDE ;5134;59,61,644
SBT NO RIO GRANDE HD ;5365;59,61,644
SBT NO RIO HD ;1809;48,59,61,161,236,243,489,613,615,642
SERTANEJO ;1956;59,137,224
SERTANEJO UNIVERSITARIO ;1953;59,137,224
SEX PRIVE ;1514;33,34,58,853
SEX PRIVE HD ;6105;58,164
SEXY HOT ;2410;58,115
SKY 220 ;2519;59,405,412
SKY 221 ;2504;59,405,412
SKY 222 ;2618;59,405,412
SKY 228 ;2512;59,405,412
SKY 234 ;1408;59,153,782
SKY 235 ;2420;59,153,782
SKY 236 ;2404;59,153,782
